project_id,output_type,sector_id,stock_code,missing_field,severity,reason,source_ids,notes,stock_name,current_value,suggested_acquisition_path,source_id,evidence_id,evidence_ids,status
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,revenue_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,中际旭创,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,net_profit_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,中际旭创,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,pe_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,中际旭创,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,revenue_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,新易盛,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,net_profit_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,新易盛,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,pe_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,新易盛,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,revenue_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,剑桥科技,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,net_profit_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,剑桥科技,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,pe_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,剑桥科技,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,revenue_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,光迅科技,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,net_profit_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,光迅科技,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,pe_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,光迅科技,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,revenue_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,华工科技,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,net_profit_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,华工科技,missing,,,,,
tech_ai_semiconductor,company_table,cpo_optical_module_silicon_photonics,MOCK,pe_2026E,high,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,"BAO-DAILY-HSOM-20260619,TENCENT-DAILY-HSOM-20260619,BAO-PROFIT-HSOM-20260619,BAO-STOCK-300308-20260619,BAO-STOCK-300502-20260619",DRY_RUN_ONLY_NOT_FOR_INVESTMENT,华工科技,missing,,,,,
